fpl_code,understat_id,match_method,confidence,verified_by,verified_ts
184029,2517,fuzzy_0.966,medium,,
444145,7752,fuzzy_0.857,medium,,
481655,7526,fuzzy_0.821,medium,,
98980,4401,fuzzy_0.829,medium,,
195546,2203,fuzzy_0.842,medium,,
559962,13310,fuzzy_0.857,medium,,
518030,13731,fuzzy_0.875,medium,,
457569,12032,fuzzy_0.857,medium,,
560262,11504,fuzzy_0.867,medium,,
507433,12595,fuzzy_0.878,medium,,
508395,11772,fuzzy_0.933,medium,,
231416,13066,fuzzy_0.963,medium,,
215059,9098,fuzzy_0.824,medium,,
491007,13094,fuzzy_0.828,medium,,
152551,2182,fuzzy_0.833,medium,,
502697,11297,fuzzy_0.824,medium,,
80801,668,fuzzy_0.839,medium,,
209289,7230,fuzzy_0.968,medium,,
577725,12410,fuzzy_0.900,medium,,
171287,987,fuzzy_0.857,medium,,
448514,6674,fuzzy_0.966,medium,,
578153,11763,fuzzy_0.944,medium,,
451302,12054,fuzzy_0.923,medium,,
441191,9512,fuzzy_0.857,medium,,
465680,8056,fuzzy_0.829,medium,,
223827,13715,fuzzy_0.880,medium,,
210494,6935,fuzzy_0.870,medium,,
536109,12358,fuzzy_0.889,medium,,
