web_name,team,price
Raya,1,6.0
Arrizabalaga,1,5.0
Meslier,1,5.0
Martinez,2,5.0
M.Bizot,2,4.5
Petrović,3,4.5
Forster,3,4.0
Dennis,3,4.0
Kelleher,4,5.0
Valdimarsson,4,4.5
Verbruggen,5,4.5
Steele,5,4.0
Sánchez,6,5.0
Jörgensen,6,5.0
Penders,6,4.5
Rushworth,7,4.5
Wilson,7,4.5
Dovin,7,4.0
Henderson,8,5.0
Benitez,8,4.5
Matthews,8,4.0
Pickford,9,5.5
Travers,9,5.0
King,9,4.5
Leno,10,4.5
Lecomte,10,4.0
McNally,10,4.0
Butland,11,4.5
Tzolakis,11,4.5
Phillips,11,4.0
Walton,12,4.5
Van Oevelen,12,4.5
Scherpen,12,4.5
Trafford,13,5.0
Perri,13,4.5
A.Becker,14,5.5
Mamardashvili,14,5.0
Woodman,14,4.0
Donnarumma,15,5.5
Rulli,15,5.0
Bettinelli,15,4.5
Lammens,16,5.0
Darlow,16,4.5
Bayindir,16,4.5
Pope,17,5.0
Horníček,17,5.0
Gillespie,17,4.5
Sels,18,5.0
John,18,4.5
Benda,18,4.5
Vicario,19,4.5
Kinsky,19,4.5
Austin,19,4.0
Roefs,20,5.0
Ellborg,20,4.5
Patterson,20,4.0
