web_name,position,price,confidence,weighted_xpts
Haaland,FWD,15.5,high,25.46492767912852
B.Fernandes,MID,12.0,high,23.35765497612931
Palmer,MID,9.5,high,22.6340125586362
Cunha,MID,8.0,high,21.49190073381293
João Pedro,FWD,7.5,high,19.92528612534183
Semenyo,MID,8.5,high,19.63114095214132
Osula,FWD,6.0,high,19.3303970521963
Saka,MID,9.5,high,19.120844216698657
Gakpo,MID,7.0,high,18.286617326136103
Rice,MID,7.5,high,18.031459902436616
Mbeumo,MID,8.0,high,17.737186289729692
Dewsbury-Hall,MID,6.5,high,17.70168721179642
Stach,MID,6.0,high,17.639906935694192
O'Reilly,DEF,6.5,high,17.596659306223657
Thiago,FWD,8.0,high,17.4728289595029
Szoboszlai,MID,7.0,high,17.28517691200168
Watkins,FWD,8.0,high,16.731048066372733
Rogers,MID,7.5,high,16.586035049784495
Guéhi,DEF,6.0,high,16.520545023705377
Šeško,FWD,7.0,high,16.476495639659227
